,,,,,,[],[]
*City View Studio 3 mins to University and Subway*,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$99,41 reviews,4.95,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n41 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub']"
"Cozy, Private Studio Flat 21 min to downtown by GO","󱀁
Entire home
You’ll have the guesthouse to yourself.",Toronto,,,4.89,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n731 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Pool']"
"Chic, Modern condo downtown by Scotiabank Arena!","󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,,,4.61,"['4 guests', '1 bedroom', '1 bed', '1 bath']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
Designer penthouse loft w sunset balcony (King W),"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$95,356 reviews,4.94,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n377 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
Cozy 1 bedroom apartment (2 beds) close to subway.,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$55,508 reviews,4.79,"['2 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n508 Reviews', '\U000f0019\nVerified']","['Kitchen', 'Laptop-friendly workspace', 'TV', 'Iron', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
Studio Yellow at Downtown Core,"󱀁
Entire home
You’ll have the serviced apartment to yourself.",Toronto,$71,380 reviews,4.46,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
High Floor | Balcony | Fast WiFi | ❤️ of Downtown,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$100,316 reviews,4.85,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n480 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub']"
Japan Inspired Studio Apartment,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$65,393 reviews,4.37,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Private Downtown Center Room/Clean/Quiet,"󰀢
Sparkling clean
11 recent guests said this place was sparkling clean.",Toronto,$22,244 reviews,4.81,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n722 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym']"
Basement Guest Suite in Toronto's Annex Area,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$85,90 reviews,4.92,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n90 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Cable TV', 'Laptop-friendly workspace']"
Corky loft with skylight at Downtown Central,"󱀁
Entire home
You’ll have the serviced apartment to yourself.",Toronto,$59,255 reviews,4.11,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
"Downtown -- Quiet, Luxury Room","󰀢
Sparkling clean
12 recent guests said this place was sparkling clean.",Toronto,$56,477 reviews,4.94,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n1859 Reviews', '\U000f0019\nVerified']","['Wifi', 'Cable TV', 'Laptop-friendly workspace', 'TV']"
Million dollar view!,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$79,382 reviews,4.76,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n883 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym']"
"10% off, Modern, 15' Airport, York uni, Yorkdale","󰄄
Self check-in
Check yourself in with the keypad.",Toronto,$19,91 reviews,4.82,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n248 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
"Beautiful, Bright Apt. with free parking","󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$65,349 reviews,4.90,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n731 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Pool']"
Luxurious Condo near CN Tower with FREE PARKING,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$113,451 reviews,4.80,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n813 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Downtown Entertainment District! Great City View!,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$93,435 reviews,4.64,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n649 Reviews', '\U000f0019\nVerified']","['Elevator', 'Breakfast', 'Wifi', 'Kitchen']"
"SUNNY DBL CORKTOWN BREAKFAST, 2 BIKES INCL.","󰀢
Sparkling clean
11 recent guests said this place was sparkling clean.",Toronto,$60,762 reviews,4.81,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n762 Reviews', '\U000f0019\nVerified']","['Breakfast', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Retro 1 bedroom apartment at downtown core,"󱀁
Entire home
You’ll have the serviced apartment to yourself.",Toronto,$76,373 reviews,4.33,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron']"
Room Wave. with Private Washroom - Little Italy,"󰄄
Self check-in
Check yourself in with the keypad.",Toronto,$55,286 reviews,4.49,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Beautiful condo near Rogers Centre + Free Parking!,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$75,136 reviews,4.76,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n554 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Modern Waterfront Studio in Downtown Toronto,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$62,103 reviews,4.48,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n554 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym']"
Luxurious penthouse duplex - Downtown Central,"󱀁
Entire home
You’ll have the loft to yourself.",Toronto,$116,251 reviews,4.29,"['8 guests', '1 bedroom', '4 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
"Bright, Clean & Tidy!","󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$85,394 reviews,4.72,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n756 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
Studio Urban,"󱀁
Entire home
You’ll have the serviced apartment to yourself.",Toronto,$69,266 reviews,4.37,"['6 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron']"
Elegant Modern Condo in Downtown Toronto,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$100,272 reviews,4.52,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n354 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Beautiful Clean Apartment in Downtown TO,"󰀃
Max is a Superhost
Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests.",Toronto,$29,204 reviews,4.87,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n722 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Gym', 'Laptop-friendly workspace']"
Luxury 2bd+2bth in the Heart of Downtown!,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$105,309 reviews,4.87,"['5 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n309 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Studio Symmetric,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$76,368 reviews,4.48,"['6 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron']"
TORONTO’s Airbnb unit of the year.,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$99,254 reviews,4.68,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n254 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub']"
Slick 1 bedroom loft at Downtown Central,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$70,356 reviews,4.32,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron']"
Luxury Suite in Toronto's Entertainment District,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$120,759 reviews,4.89,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n759 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
Modern Condo near CN Tower WITH FREE PARKING,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$85,450 reviews,4.74,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n450 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Near CN Tower | Luxury Condo| One bedroom| Lounge,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$69,220 reviews,4.78,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n351 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
Studio Orange Pillows,"󱀁
Entire home
You’ll have the serviced apartment to yourself.",Toronto,$88,363 reviews,4.35,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Air conditioning', 'Essentials', 'Heating', 'Hot water']"
Room Fancy Red w/ Private Bath - Downtown Central,"󰄄
Self check-in
Check yourself in with the lockbox.",Toronto,$67,377 reviews,4.37,"['4 guests', 'Studio', '2 beds', '1 private bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub']"
Room Comfy Knit - Little Italy,"󰄄
Self check-in
Check yourself in with the keypad.",Toronto,$42,243 reviews,4.36,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Studio RED,"󱀁
Entire home
You’ll have the serviced apartment to yourself.",Toronto,$73,346 reviews,4.29,"['6 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron']"
Enjoy a trendy condo downtown in Yorkville +a view,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$56,78 reviews,4.53,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n554 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym']"
Plant Paradise Loft: Cozy Sunny Dream Space!,"󱀁
Entire home
You’ll have the loft to yourself.",Toronto,$150,288 reviews,4.85,"['6 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n351 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV']"
Renovated DOWNTOWN Studio + PATIO Queen Street W,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$49,139 reviews,4.65,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n999 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV']"
"""7mins to Downtown core"" Downtown","󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$14,30 reviews,4.77,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n74 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Hangers', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
Private 1BD/1BR★Subway Nearby★Free Parking★Laundry,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$70,102 reviews,4.79,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n102 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Iron']"
"The Nook,free parking,steps to GO station & Subway","󱀁
Entire home
You’ll have the house to yourself.",Toronto,$51,183 reviews,4.84,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n183 Reviews', '\U000f0019\nVerified']","['Air conditioning', 'Essentials', 'Heating', 'Hot water']"
"Modern living condo, DOWNTOWN!!!","󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$117,382 reviews,4.71,"['4 guests', '2 bedrooms', '2 beds', '1.5 baths', '\U000f0004\n943 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Modern and cute suit Close to Lake ON,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$99,478 reviews,4.68,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n503 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub']"
Cozy Studio in Little Portugal,"󱀁
Entire home
You’ll have the house to yourself.",Toronto,$64,107 reviews,4.90,"['2 guests', 'Studio', '0 beds', '1 bath', '\U000f0004\n331 Reviews', '\U000f0019\nVerified']","['Indoor fireplace', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Trendy self- contained studio,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$61,503 reviews,4.86,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n559 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Cable TV']"
Room Snuggy Yellow - Little Italy,"󰄄
Self check-in
Check yourself in with the keypad.",Toronto,$32,258 reviews,4.37,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Downtown hotel style studio w/parking/ 6 ppl max,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$40,259 reviews,4.34,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n1891 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Laptop-friendly workspace']"
Couple's Cozy home in downtown Toronto w/ Parking,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$99,382 reviews,4.55,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n815 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
"Modern Condo near CN Tower, Scotiabank Arena, Rogers Centre & MTCC with FREE PARKING","󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$113,241 reviews,4.83,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n813 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
King suite in the heart of downtown Toronto,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$109,184 reviews,4.71,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n187 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
Downtown Condo,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$100,218 reviews,4.80,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n290 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Cozy and Hip Home for Rental,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$75,450 reviews,4.90,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n450 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Indoor fireplace', 'Wifi', 'Kitchen']"
Stylish Downtown Cozy Room,"󰄄
Self check-in
Check yourself in with the keypad.",Toronto,$60,319 reviews,4.62,"['1 guest', '1 bedroom', '1 bed', '2 shared baths', '\U000f0004\n2242 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron']"
Cozy Room in a Condo,"󰄄
Self check-in
Check yourself in with the lockbox.",Toronto,$26,177 reviews,4.67,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n272 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Indoor fireplace', 'Wifi', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
CUTEST HOUSE AROUND (AND NEWLY RENOVATED!),"󱀁
Entire home
You’ll have the house to yourself.",Toronto,$110,319 reviews,4.91,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n319 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron']"
"Downtown Luxury, Private Bathroom!","󰀢
Sparkling clean
14 recent guests said this place was sparkling clean.",Toronto,$62,452 reviews,4.93,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n1859 Reviews', '\U000f0019\nVerified']","['Wifi', 'Laptop-friendly workspace', 'TV', 'Iron']"
"Luxurious Condo w/ Parking, Pool, 3 Beds & Views","󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$100,305 reviews,4.83,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n413 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Cool Space in a Great Neighbourhood,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$69,400 reviews,4.69,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n400 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Cable TV', 'Laptop-friendly workspace']"
Modern Urban Private Apt #1 TOR neighbourhood,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$96,164 reviews,4.79,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n536 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Cable TV']"
Modern Studio with Free Parking,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$84,344 reviews,4.91,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n895 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
LUXURY! Prime Location+CN Tower View! FREE PARKING,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$115,318 reviews,4.52,"['8 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n318 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Downtown hotel style suite up to 4 ppl,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$39,246 reviews,4.37,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n1891 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Laptop-friendly workspace', 'Iron']"
Cozy Downtown Toronto Condo On The Lake Waterfront,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$99,296 reviews,4.68,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n296 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub']"
"Super Central Condo, Beside CN Tower!","󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$130,409 reviews,4.92,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n1809 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub']"
Entire 1 Bedroom Apartment. Toronto,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$70,247 reviews,4.47,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n264 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Gorgeous view Downtown Toronto,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$60,209 reviews,4.63,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n586 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
