,,,,,,[],[]
Bedroom and Bathroom by the Lake,"󰄄
Self check-in
Check yourself in with the lockbox.",Toronto,$84,259 reviews,4.87,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n259 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
Spectacular Modern/Bright Spacious 2Br Loft!,"󱀁
Entire home
You’ll have the loft to yourself.",Toronto,$109,301 reviews,4.95,"['4 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n607 Reviews', '\U000f1101\n3 References', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
Great View from Cozy Studio ☆ 5-Star Value,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$72,112 reviews,4.71,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n1568 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub']"
View CN Tower right from your bedroom!,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$118,204 reviews,4.69,"['4 guests', '2 bedrooms', '2 beds', '2 baths', '\U000f0004\n815 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Toronto Little Mansion on the 30th Floor,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$65,132 reviews,4.80,"['4 guests', '2 bedrooms', '2 beds', '2 baths', '\U000f0004\n132 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
STYLISH MODERN 2BD - GREAT LOCATION,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$171,193 reviews,4.79,"['4 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n430 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
Unique Studio with Sauna,"󱀁
Entire home
You’ll have the guesthouse to yourself.",Toronto,$89,342 reviews,4.89,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n637 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","['Wifi', 'Laptop-friendly workspace', 'Iron', 'Hangers']"
Private Retreat in Central Toronto,"󰄄
Self check-in
Check yourself in with the keypad.",Toronto,$69,173 reviews,4.90,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n285 Reviews', '\U000f0019\nVerified']","['Indoor fireplace', 'Wifi', 'Laptop-friendly workspace', 'Iron']"
Your Home in the Entertainment District,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$139,221 reviews,4.95,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n257 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Luxury Condo! in Upscale TO Downtown Neighbourhood,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$119,167 reviews,4.59,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n1078 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
Spectacular Downtown High-Rise Condo!,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$82,259 reviews,4.71,"['2 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n536 Reviews']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
55th+ Floor Lake View Suite By Union Station,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$68,127 reviews,4.45,"['3 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n577 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
"Lake Veiw Cozy, Totally Privat Toronto Studio.","󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$39,44 reviews,4.72,"['3 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n653 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV']"
Beach Area Charmer,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$95,274 reviews,4.70,"['3 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n274 Reviews', '\U000f1101\n5 References', '\U000f0019\nVerified']","['Indoor fireplace', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Sun Filled Photographic Hard Loft,"󱀁
Entire home
You’ll have the loft to yourself.",Toronto,$210,356 reviews,4.96,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n494 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron']"
Quiet Studio in Queen West,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$82,303 reviews,4.60,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n303 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hangers']"
Suite Toronto - Luxury Condo,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$119,417 reviews,4.90,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n1453 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Pool']"
Greenwood Terrace Suite #1B,"󱀁
Entire home
You’ll have the house to yourself.",Toronto,$120,312 reviews,4.95,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n345 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Cable TV']"
"Downtown Luxury, Private Bathroom & Own Courtyard","󰀢
Sparkling clean
16 recent guests said this place was sparkling clean.",Toronto,$78,392 reviews,4.87,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n1859 Reviews', '\U000f0019\nVerified']","['Wifi', 'Laptop-friendly workspace', 'TV', 'Iron']"
Spacious Private Home 10mins to Downtown!Free Prk!,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$89,207 reviews,4.51,"['9 guests', '3 bedrooms', '5 beds', '1 bath', '\U000f0004\n386 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Bright and Spacious Luxury Condo,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$109,258 reviews,4.75,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n1047 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Downtown Cityview,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$99,301 reviews,4.73,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n457 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
TOTALLY PRIVATE ONEBEDROOM TORONTO APARTMENT,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$56,71 reviews,4.56,"['5 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n653 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Large 2 Bed Condo! Downtown Toronto’s Art District,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$76,227 reviews,4.56,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n661 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
Comfortable Luxury Condo in the Best Location!,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$159,384 reviews,4.67,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n385 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
Penthouse 67 fl + FREE Parking,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$159,367 reviews,4.87,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n367 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Queen West Studio Apartment,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$70,201 reviews,4.41,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n201 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hangers', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
L6 - LOFT in Central Downtown,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$93,106 reviews,4.52,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n1260 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
An Efficiency Apartment,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$35,59 reviews,4.88,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n81 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV']"
Modern Luxury Yorkville Condo,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$90,262 reviews,4.48,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n795 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym']"
4 Beds + 8 ppl - Waterfront Condo,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$96,121 reviews,4.52,"['8 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n121 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'Unavailable: Smoke detector\nSmoke detector', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
Beautiful 2 BR in Ideal Location,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$90,395 reviews,4.69,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n395 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV']"
Bright and Airy Two Bedroom With Parking,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$60,323 reviews,4.68,"['5 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n362 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Cable TV']"
Private Room at UNION & LAKESHORE,"󰄄
Self check-in
Check yourself in with the lockbox.",Toronto,$63,217 reviews,4.86,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n217 Reviews', '\U000f0019\nVerified']","['Elevator', 'Breakfast', 'Wifi', 'Laptop-friendly workspace']"
Bright bachelor,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$75,228 reviews,4.78,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n875 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Cable TV', 'Laptop-friendly workspace']"
#1B+BALCONY LUXURY CONDO NEXT TORONTO ACC/CN TOWER,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$83,175 reviews,4.66,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n175 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
"Beautiful, Spacious, Cozy, and Central","󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$71,143 reviews,4.97,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n143 Reviews', '\U000f0019\nVerified']","['Breakfast', 'Wifi', 'Kitchen', 'Cable TV']"
"Luxurious Condo near CN Tower, Scotiabank Arena, Rogers Centre, TIFF with FREE PARKING","󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$113,121 reviews,4.83,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n813 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
VIEWS+PARKING+LOCATION= Best Downtown Experience,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$131,313 reviews,4.92,"['6 guests', '3 bedrooms', '3 beds', '1 bath', '\U000f0004\n429 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
High Park luxurious One bed room&den with Parking,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$119,197 reviews,4.92,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n233 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
Luxury Highrise DT City View Condo,"󰀐
Great location
95% of recent guests gave the location a 5-star rating.",Toronto,$94,243 reviews,4.73,"['4 guests', '2 bedrooms', '2 beds', '1.5 baths', '\U000f0004\n260 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub']"
Triller Grove - A One Bedroom Luxury Urban Oasis,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$120,119 reviews,4.93,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n119 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV']"
Sunny Victorian home w/ free parking,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$77,167 reviews,4.83,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n171 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
"Newly renovated, Bright & Private Bachelor suite","󱀁
Entire home
You’ll have the house to yourself.",Vaughan,$69,121 reviews,4.92,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n121 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Stylish King West Condo Downtown + Huge Balcony!,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$75,47 reviews,4.68,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n554 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym']"
"3 BDRM, 2 Bathroom Suite with Parking","󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$149,163 reviews,4.73,"['8 guests', '3 bedrooms', '4 beds', '2 baths', '\U000f0004\n163 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
New! Clean Cute Private Unit Royal York/Queensway!,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$70,195 reviews,4.84,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n195 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'TV', 'Dryer']"
"Cool studio with parking. Dundas square,Central","󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$86,175 reviews,4.78,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n2120 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'Unavailable: Smoke detector\nSmoke detector', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
St Clair West Modern Oasis in Toronto midtown,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$79,157 reviews,4.84,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n189 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV']"
Luxury Studio + Balcony in the Heart of Downtown,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$75,112 reviews,4.70,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n112 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym']"
"Wonderful flat in Leslieville, Toronto","󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$110,88 reviews,4.83,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n88 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Cable TV', 'TV']"
East Chinatown Bachelor Unit with Paid Parking,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$34,64 reviews,4.70,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n147 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'TV', 'Iron']"
Gorgeous Bloordale Living,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$76,210 reviews,4.82,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n475 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Cable TV', 'Laptop-friendly workspace']"
Oakwood Village Apartment,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$45,206 reviews,4.41,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n223 Reviews', '\U000f0019\nVerified']","['Indoor fireplace', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Bloordale Village Inn 30s to Subway,"󰀢
Sparkling clean
10 recent guests said this place was sparkling clean.",Toronto,$52,171 reviews,4.59,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n723 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'TV']"
Stunning Condo close to CN Tower with Free Parking,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$139,314 reviews,4.81,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n130 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
"5☆ Modern Living in T.O.+Location,WiFi,Netflix,Gym","󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$91,227 reviews,4.87,"['2 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n227 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
King West - Fashion & Entertainment District,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$69,149 reviews,4.89,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n149 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
Parkdale Blue House // clean & comfortable,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$85,285 reviews,4.84,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n285 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Cable TV']"
Room Cozy Red - Little Italy,"󰄄
Self check-in
Check yourself in with the keypad.",Toronto,$40,232 reviews,4.21,"['4 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Private Room Close to Downtown,"󰀢
Sparkling clean
13 recent guests said this place was sparkling clean.",Toronto,$34,191 reviews,4.81,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n331 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron']"
Private Lower Level Suite,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$125,224 reviews,4.89,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n224 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Beautiful 2bd/2ba- The Heart of DT w/ Free Parking,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$164,144 reviews,4.71,"['5 guests', '2 bedrooms', '2 beds', '2 baths', '\U000f0004\n107 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Cozy Bedroom in Toronto's Old Town,"󰀢
Sparkling clean
16 recent guests said this place was sparkling clean.",Toronto,$60,327 reviews,4.98,"['1 guest', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n327 Reviews']","['Indoor fireplace', 'Breakfast', 'Wifi', 'Laptop-friendly workspace']"
Modern Yorkville Condo Downtown + Unlimited WiFi!,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$75,82 reviews,4.71,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n554 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym']"
Modern Open-Style Studio Unit with Free Parking,"󱀁
Entire home
You’ll have the house to yourself.",Toronto,$51,91 reviews,4.93,"['3 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n264 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV']"
Perfect Downtown Condo w/ Free Parking,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$100,291 reviews,4.83,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n895 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
★Yorkville ★ Netflix ★ Gym ★Laundry ★ Fast Wifi,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$95,95 reviews,4.88,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n95 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym']"
Room Soft Hue - Little Italy,"󰄄
Self check-in
Check yourself in with the keypad.",Toronto,$38,188 reviews,4.40,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Heritage Townhome 2 - On The Park!,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$99,227 reviews,4.57,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n594 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Cable TV', 'Laptop-friendly workspace']"
